TotalSteps,TotalDistance,Calories,SCORE
6580,5.059999943,3073,0
4660,3.579999924,2572,0
11009,9.100000381,3274,0
10181,7.829999924,3015,0
10553,8.119999886,3083,0
10055,7.730000019,3069,0
12139,9.340000153,3544,0
13236,10.18000031,3306,0
10243,7.880000114,2885,0
12961,9.970000267,3288,0
9461,7.28000021,2929,0
11193,8.609999657,3074,0
10074,7.75,2969,0
9232,7.099999905,2979,0
12533,9.640000343,3283,0
10255,7.889999866,2926,0
10096,8.399999619,3147,0
12727,9.789999962,3290,0
12375,9.520000458,3162,0
9603,7.380000114,2899,0
13175,10.13000011,3425,0
22770,17.54000092,4022,0
17298,14.38000011,3934,0
10218,7.860000134,3013,0
10299,7.920000076,3061,0
10201,7.840000153,2954,0
3369,2.589999914,1623,0
3276,2.200000048,2113,0
2961,1.99000001,2095,0
3974,2.670000076,2194,0
7198,4.829999924,2496,0
3945,2.650000095,2180,0
2268,1.519999981,1933,0
6155,4.239999771,2248,0
2064,1.389999986,1954,0
2072,1.389999986,1974,0
3809,2.559999943,2150,0
6831,4.579999924,2432,0
4363,2.930000067,2149,0
5002,3.359999895,2247,0
3385,2.269999981,2070,0
6326,4.409999847,2291,0
7243,5.03000021,2361,0
4493,3.00999999,2203,0
4676,3.140000105,2196,0
6222,4.179999828,2363,0
5232,3.50999999,2246,0
6910,4.75,2336,0
7502,5.179999828,2421,0
2923,1.960000038,2070,0
3800,2.549999952,2120,0
4514,3.029999971,2211,0
5183,3.589999914,2123,0
7303,4.900000095,2423,0
5275,3.539999962,2281,0
3915,2.630000114,2181,0
9105,6.110000134,2499,0
768,0.519999981,1212,0
5135,3.390000105,1909,0
4978,3.289999962,1722,0
6799,4.489999771,1922,0
7795,5.150000095,2121,0
7289,4.820000172,1997,0
9634,6.400000095,2117,0
8940,5.909999847,2116,0
5401,3.569999933,1876,0
4803,3.170000076,1788,0
13743,9.079999924,2486,0
9601,6.349999905,2094,0
6890,4.550000191,2085,0
8563,5.659999847,2173,0
8095,5.349999905,2225,0
9148,6.050000191,2223,0
9557,6.320000172,2098,0
9451,6.25,2185,0
7833,5.179999828,1918,0
